rec_id,First_Name,Last_Name,SSN,Gender,Nationality,Age,Highest_Education_Level,Income,Company,State,Percentage,
rec-000000-dup-0,Melissa,,777-19-8419,female,,65,,46312.109,AMBASSADOR APTS,IL  ,0.07,
rec-000001-dup-0,Sarah,Beam,,female,,36,masters,104168.324,,ME  ,0.09,
rec-000002-dup-0,,Goldman,255-99-0148,female,Kyrgyzstani,50,high_school,,,NC  ,0.69,
rec-000003-dup-0,Dorothy,Stang,211-78-0825,female,,84,high_school,,FIRST AMERICAN  BANK,,0.82,
rec-000004-dup-0,Michelle,Messenger,,female,French,77,,36880.159,FIRST CREDIT CORPORATION,,0.76,
rec-000005-dup-0,Manuel,Wark,,male ,Armenian,,bachelors,67282.078,,PA  ,0.93,
rec-000006-dup-0,Kenneth,Gooch,,,Swazi,55,,63068.054,BLAKE SMITH,NJ  ,0.69,
rec-000007-dup-0,Maria,Kelley,347-85-4672,female,,,degree,74047.914,,IL  ,0.63,
rec-000008-dup-0,Yun,Williams,,,,22,high_school,36817.917,ABC MAILBOXES,PA  ,0.67,
rec-000009-dup-0,,,005-34-0557,male ,Papua New Guinean,,doctoral,98878.676,ACCEL BUSINESS FORMS,AL  ,0.68,
rec-000010-dup-0,Kathleen,,828-17-6634,,,45,degree,65549.469,ACTON DENTAL,MA  ,0.73,
rec-000011-dup-0,Kelvin,Brand,677-53-1100,,Bermudian,77,bachelors,,ADVANTIS (PLUS IBM MAIL),,0.56,
rec-000012-dup-0,,,,male ,Malawian,48,doctoral,87824.844,ALBERT A RUSSO INC,IN  ,0.72,
rec-000013-dup-0,Rosalie,Clark,,,Sri Lankan,32,high_school,38449.245,,TX  ,0.66,
rec-000014-dup-0,Chuck,Murphy,209-96-6722,male ,,18,high_school,,,KY  ,0.83,
rec-000015-dup-0,John,Henderson,510-13-8134,male ,,,professional,93073.033,,NC  ,0.04,
rec-000016-dup-0,Tricia,,408-59-1289,female,,,high_school,37443.018,BRODIE OAKS,LA  ,0.65,
rec-000017-dup-0,Philip,Gibbs,106-04-1841,male ,Peruvian,,bachelors,,COMPTROLLER OF CURRENCY,,0.98,
rec-000018-dup-0,,Cheatham,422-32-2180,male ,Jamaican,73,,,COUNTRY PLACE,MA  ,0.08,
rec-000019-dup-0,Ruthie,,861-77-3706,,Japanese,25,high_school,49861.295,COUNTRY VILLA,,0.71,
rec-000020-dup-0,Heather,Mccrimmon,377-59-3894,female,Jordanian,,high_school,,,FL  ,0.71,
rec-000021-dup-0,Jillian,,659-41-3286,,Kazakh,,professional,85666.732,COUNTRY VLG APTS,NY  ,0.03,
rec-000022-dup-0,Almeda,Mosley,658-73-0291,female,Kenyan,,,67581.033,,AL  ,0.89,
rec-000023-dup-0,Steven,Tejada,,,Czech,,masters,114129.279,DR C WEISS DDS,NC  ,0.85,
rec-000024-dup-0,Araceli,Matthews,,female,Micronesian,,,63227.801,ELITE AUTO BODY INC,TX  ,0.77,
rec-000025-dup-0,,,226-55-7602,female,Albanian,80,high_school,46185.073,ETHAN ALLEN,,0.85,
rec-000026-dup-0,Garry,Puckett,767-98-4122,male ,Azerbaijani,,,,FIREMATIC,MI  ,0.66,
rec-000027-dup-0,Todd,,348-32-4551,,Slovenian,54,high_school,,HEISS & GIBBONS CONSULT,MN  ,0.52,
rec-000028-dup-0,,,629-36-9553,male ,Mozambican,93,masters,,HOME DEPOT SHOPPING CENTER,AR  ,0.78,
rec-000029-dup-0,Kenneth,,,male ,Solomon Islander,20,high_school,41844.957,J D CHADNEY MD,,0.014728922,
rec-000030-dup-0,Christopher,Jones,827-39-5250,male ,Mauritanian,82,,78264.25,,,0.51,
rec-000031-dup-0,Eric,Morris,,male ,,63,,90368.008,ANTIQUE MALL,AR  ,0.6,
rec-000032-dup-0,,Lowe,627-90-2220,female,,38,degree,,BUSINESS AND TECH CENTER,TX  ,0.51,
rec-000033-dup-0,Scott,Anderson,,male ,Luxembourger,37,doctoral,,,CO  ,0.93,
rec-000034-dup-0,Lorraine,Gault,,female,Argentinian,,high_school,37690.369,FIRE FIGHTING EQUIPMENT,,0.73,
rec-000035-dup-0,Brian,,350-73-3822,male ,Bermudian,20,doctoral,125184.048,,,0.59,
rec-000036-dup-0,Thomas,Nixon,,male ,,19,bachelors,82308.838,,AL  ,0.66,
rec-000037-dup-0,Richard,Bond,,male ,Swedish,89,degree,58551.474,,,0.54,
rec-000038-dup-0,,Avendano,068-20-7210,female,,82,high_school,50007.7,AUSTIN HALL APTS,,0.08,
rec-000039-dup-0,,Colson,831-29-8112,female,,24,degree,64316.639,ERIE INSURANCE GROUP,,0.74,
